@N: MF248 |Running in 64-bit mode.
@N: MF667 |Clock conversion disabled 
@N: BN362 :"e:\julio\projetos\ips\crc\src\soc\crc_ahb_ip\component\actel\directcore\coreahblite\5.0.100\rtl\vlog\core\coreahblite_slavestage.v":82:4:82:9|Removing sequential instance CoreAHBLite_0.matrix4x16.slavestage_5.masterDataInProg[1] of view:PrimLib.dffr(prim) in hierarchy view:work.crc_ahb_ip(verilog) because there are no references to its outputs 
@N: BN362 :"e:\julio\projetos\ips\crc\src\soc\crc_ahb_ip\component\actel\directcore\coreahblite\5.0.100\rtl\vlog\core\coreahblite_slavestage.v":82:4:82:9|Removing sequential instance CoreAHBLite_0.matrix4x16.slavestage_5.masterDataInProg[3] of view:PrimLib.dffr(prim) in hierarchy view:work.crc_ahb_ip(verilog) because there are no references to its outputs 
@N: BN362 :"e:\julio\projetos\ips\crc\src\soc\crc_ahb_ip\component\actel\directcore\coreahblite\5.0.100\rtl\vlog\core\coreahblite_slavestage.v":82:4:82:9|Removing sequential instance CoreAHBLite_0.matrix4x16.slavestage_5.masterDataInProg[2] of view:PrimLib.dffr(prim) in hierarchy view:work.crc_ahb_ip(verilog) because there are no references to its outputs 
@N: BN362 :"e:\julio\projetos\ips\crc\src\soc\crc_ahb_ip\component\actel\directcore\coreahblite\5.0.100\rtl\vlog\core\coreahblite_masterstage.v":167:0:167:5|Removing sequential instance CoreAHBLite_0.matrix4x16.masterstage_0.regHADDR[0] of view:PrimLib.dffr(prim) in hierarchy view:work.crc_ahb_ip(verilog) because there are no references to its outputs 
@N: BN362 :"e:\julio\projetos\ips\crc\src\soc\crc_ahb_ip\component\actel\directcore\coreahblite\5.0.100\rtl\vlog\core\coreahblite_masterstage.v":167:0:167:5|Removing sequential instance CoreAHBLite_0.matrix4x16.masterstage_0.regHADDR[1] of view:PrimLib.dffr(prim) in hierarchy view:work.crc_ahb_ip(verilog) because there are no references to its outputs 
@N: BN362 :"e:\julio\projetos\ips\crc\src\soc\crc_ahb_ip\component\actel\directcore\coreahblite\5.0.100\rtl\vlog\core\coreahblite_masterstage.v":167:0:167:5|Removing sequential instance CoreAHBLite_0.matrix4x16.masterstage_0.regHADDR[5] of view:PrimLib.dffr(prim) in hierarchy view:work.crc_ahb_ip(verilog) because there are no references to its outputs 
@N: BN362 :"e:\julio\projetos\ips\crc\src\soc\crc_ahb_ip\component\actel\directcore\coreahblite\5.0.100\rtl\vlog\core\coreahblite_masterstage.v":167:0:167:5|Removing sequential instance CoreAHBLite_0.matrix4x16.masterstage_0.regHADDR[6] of view:PrimLib.dffr(prim) in hierarchy view:work.crc_ahb_ip(verilog) because there are no references to its outputs 
@N: BN362 :"e:\julio\projetos\ips\crc\src\soc\crc_ahb_ip\component\actel\directcore\coreahblite\5.0.100\rtl\vlog\core\coreahblite_masterstage.v":167:0:167:5|Removing sequential instance CoreAHBLite_0.matrix4x16.masterstage_0.regHADDR[7] of view:PrimLib.dffr(prim) in hierarchy view:work.crc_ahb_ip(verilog) because there are no references to its outputs 
@N: BN362 :"e:\julio\projetos\ips\crc\src\soc\crc_ahb_ip\component\actel\directcore\coreahblite\5.0.100\rtl\vlog\core\coreahblite_masterstage.v":167:0:167:5|Removing sequential instance CoreAHBLite_0.matrix4x16.masterstage_0.regHADDR[8] of view:PrimLib.dffr(prim) in hierarchy view:work.crc_ahb_ip(verilog) because there are no references to its outputs 
